,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 1 OLS,0.5359925528639078,1027.3150297153495,1352.3192286434942
Dataset 2 OLS,0.5584292175174794,999.2045526957687,1329.9592323306815
Dataset 3 OLS,0.5602495780711971,993.5979062018623,1327.2150453224867
