,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 1 Average,-0.027898261439856853,1642.0042801867548,2017.8974539526082
Dataset 2 Average,-0.0036448274616041054,1565.9918992980415,1989.1568978355576
Dataset 3 Average,-0.0007441616389962658,1549.0499792811058,1986.280355141051
