Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
1991-12-11 00:00:00,4.0,2.0,0.5,0.33783783783783783,18582.0,19006.0,19006.0,San Antonio Spurs,0.0,1.0,Wednesday,December,0.0,18247.0
1991-12-13 00:00:00,6.0,2.0,0.4444444444444444,0.33783783783783783,18247.0,16235.0,19006.0,Philadelphia 76ers,0.0,3.0,Friday,December,0.0,18632.0
1991-12-14 00:00:00,5.0,4.0,0.6,0.6172839506172839,18700.0,19911.0,19911.0,Detroit Pistons,0.0,4.0,Saturday,December,0.0,19911.0
1991-12-19 00:00:00,5.0,2.0,0.21052631578947367,0.33783783783783783,18632.0,19420.0,19006.0,Los Angeles Lakers,0.0,1.0,Thursday,December,0.0,18402.0
1991-12-21 00:00:00,1.0,2.0,0.2,0.33783783783783783,18402.0,15702.0,19006.0,Los Angeles Clippers,0.0,1.0,Saturday,December,0.0,18391.0
1991-12-23 00:00:00,3.0,2.0,0.65,0.33783783783783783,18391.0,13326.0,19006.0,New York Knicks,0.0,4.0,Monday,December,0.0,19006.0
1991-12-26 00:00:00,1.0,4.0,0.5769230769230769,0.6172839506172839,19911.0,19911.0,19911.0,Los Angeles Clippers,0.0,2.0,Thursday,December,0.0,19911.0
1991-12-27 00:00:00,2.0,2.0,0.18181818181818185,0.33783783783783783,19006.0,13671.0,19006.0,Golden State Warriors,0.0,1.0,Friday,December,0.0,19006.0
1991-12-28 00:00:00,6.0,4.0,0.5925925925925926,0.6172839506172839,19911.0,19911.0,19911.0,Miami Heat,0.0,2.0,Saturday,December,0.0,19911.0
1991-12-30 00:00:00,4.0,2.0,0.32,0.33783783783783783,19006.0,17644.0,19006.0,Sacramento Kings,0.0,1.0,Monday,December,0.0,19006.0
1992-01-02 00:00:00,2.0,2.0,0.16,0.33783783783783783,19006.0,19429.0,19006.0,Milwaukee Bucks,0.0,0.0,Thursday,January,0.0,19006.0
1992-01-02 00:00:00,2.0,4.0,0.6071428571428571,0.6172839506172839,19911.0,18661.0,19911.0,Portland Trail Blazers,0.0,3.0,Thursday,January,0.0,19911.0
1992-01-04 00:00:00,5.0,4.0,0.6206896551724138,0.6172839506172839,19911.0,18742.0,19911.0,Dallas Mavericks,0.0,4.0,Saturday,January,0.0,19911.0
1992-01-04 00:00:00,9.0,2.0,0.19230769230769232,0.33783783783783783,19006.0,16893.0,19006.0,Boston Celtics,0.0,1.0,Saturday,January,0.0,19006.0
1992-01-06 00:00:00,4.0,4.0,0.6333333333333333,0.6172839506172839,19911.0,19911.0,19911.0,Indiana Pacers,0.0,5.0,Monday,January,0.0,19911.0
1992-01-07 00:00:00,2.0,2.0,0.1851851851851852,0.33783783783783783,19006.0,12111.0,19006.0,Cleveland Cavaliers,0.0,1.0,Tuesday,January,0.0,18388.0
1992-01-11 00:00:00,4.0,2.0,0.5757575757575758,0.33783783783783783,18388.0,12372.0,19006.0,Utah Jazz,0.0,2.0,Saturday,January,0.0,19006.0
