Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
2014-01-07 19:00:00,7.0,7.0,0.5161290322580645,0.7826086956521741,18165.0,17923.0,18165.0,Indiana Pacers,Toronto Raptors,0.0,3.0,Tuesday,January,16147.0
2014-01-07 19:00:00,5.0,3.0,0.35294117647058826,0.7866666666666666,17502.0,20562.0,20562.0,Cleveland Cavaliers,Philadelphia 76ers,0.0,3.0,Tuesday,January,13344.0
2014-01-07 19:30:00,2.0,22.0,0.4375,0.7010309278350515,20020.0,15200.0,20350.0,Miami Heat,New Orleans Pelicans,0.0,2.0,Tuesday,January,20097.0
2014-01-07 19:30:00,2.0,4.0,0.34375,0.625,19812.0,19763.0,19812.0,New York Knicks,Detroit Pistons,0.0,3.0,Tuesday,January,19812.0
2014-01-07 20:00:00,22.0,29.0,0.59375,0.8,21539.0,0.0,22261.0,Chicago Bulls,Phoenix Suns,0.0,3.0,Tuesday,January,21181.0
2014-01-07 20:00:00,5.0,3.0,0.7714285714285715,0.7222222222222222,17688.0,18119.0,18119.0,Memphis Grizzlies,San Antonio Spurs,0.0,4.0,Tuesday,January,15916.0
2014-01-07 20:30:00,6.0,4.0,0.38235294117647056,0.68,19892.0,20340.0,20799.0,Dallas Mavericks,Los Angeles Lakers,0.0,1.0,Tuesday,January,19656.0
2014-01-07 21:00:00,13.0,3.0,0.5,0.5487804878048781,17608.0,14562.0,19155.0,Denver Nuggets,Boston Celtics,0.0,3.0,Tuesday,January,16224.0
2014-01-07 21:00:00,15.0,4.0,0.2857142857142857,0.5,16012.0,18851.0,19911.0,Utah Jazz,Oklahoma City Thunder,0.0,3.0,Tuesday,January,18547.0
2014-01-08 19:00:00,4.0,5.0,0.7777777777777778,0.7010309278350515,18581.0,19002.0,18581.0,San Antonio Spurs,Dallas Mavericks,0.0,4.0,Wednesday,January,18581.0
2014-01-08 19:00:00,2.0,7.0,0.53125,0.3947368421052632,18271.0,20048.0,20457.0,Toronto Raptors,Detroit Pistons,0.0,3.0,Wednesday,January,16194.0
2014-01-08 19:30:00,5.0,12.0,0.6486486486486487,0.5476190476190477,15326.0,17732.0,17732.0,Brooklyn Nets,Golden State Warriors,0.0,4.0,Wednesday,January,17732.0
2014-01-08 19:30:00,7.0,6.0,0.7878787878787878,0.5925925925925926,15210.0,19330.0,19287.0,Atlanta Hawks,Indiana Pacers,0.0,3.0,Wednesday,January,15169.0
