Time,Attendance,Playoffs?,Last Five,Curr Win %,Day of Week,Month,Rivalry?,LS Win %,Last Game,Last Attendance vs Opp,Capacity
1991-12-21 00:00:00,18391.0,0.0,1.0,0.2,Saturday,December,0.0,0.33783783783783783,18402.0,15702.0,18978.0
1991-12-23 00:00:00,19006.0,0.0,4.0,0.65,Monday,December,0.0,0.33783783783783783,18391.0,13326.0,18978.0
1991-12-26 00:00:00,19911.0,0.0,2.0,0.5769230769230769,Thursday,December,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1991-12-27 00:00:00,19006.0,0.0,1.0,0.18181818181818185,Friday,December,0.0,0.33783783783783783,19006.0,13671.0,18978.0
1991-12-28 00:00:00,19911.0,0.0,2.0,0.5925925925925926,Saturday,December,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1991-12-30 00:00:00,19006.0,0.0,1.0,0.32,Monday,December,0.0,0.33783783783783783,19006.0,17644.0,18978.0
1992-01-02 00:00:00,19006.0,0.0,0.0,0.16,Thursday,January,0.0,0.33783783783783783,19006.0,19429.0,18978.0
1992-01-02 00:00:00,19911.0,0.0,3.0,0.6071428571428571,Thursday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-01-04 00:00:00,19911.0,0.0,4.0,0.6206896551724138,Saturday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-01-04 00:00:00,19006.0,0.0,1.0,0.19230769230769232,Saturday,January,0.0,0.33783783783783783,19006.0,16893.0,18978.0
1992-01-06 00:00:00,19911.0,0.0,5.0,0.6333333333333333,Monday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-01-07 00:00:00,18388.0,0.0,1.0,0.1851851851851852,Tuesday,January,0.0,0.33783783783783783,19006.0,12111.0,18978.0
1992-01-11 00:00:00,19006.0,0.0,2.0,0.5757575757575758,Saturday,January,0.0,0.33783783783783783,18388.0,12372.0,18978.0
1992-01-14 00:00:00,19911.0,0.0,2.0,0.5882352941176471,Tuesday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-01-16 00:00:00,18674.0,0.0,4.0,0.5806451612903226,Thursday,January,0.0,0.33783783783783783,19006.0,14007.0,18978.0
1992-01-16 00:00:00,19911.0,0.0,2.0,0.6,Thursday,January,0.0,0.6172839506172839,19911.0,19535.0,18306.0
1992-01-18 00:00:00,19911.0,0.0,3.0,0.6111111111111112,Saturday,January,1.0,0.6172839506172839,19911.0,19381.0,18306.0
1992-01-22 00:00:00,19911.0,0.0,4.0,0.6216216216216216,Wednesday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-01-23 00:00:00,18807.0,0.0,0.0,0.2,Thursday,January,0.0,0.33783783783783783,18674.0,13288.0,18978.0
1992-01-27 00:00:00,19911.0,0.0,3.0,0.5897435897435898,Monday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-01-29 00:00:00,19911.0,0.0,3.0,0.6,Wednesday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-01-31 00:00:00,19911.0,0.0,3.0,0.6097560975609756,Friday,January,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-02-03 00:00:00,19911.0,0.0,4.0,0.627906976744186,Monday,February,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-02-03 00:00:00,18434.0,0.0,1.0,0.2,Monday,February,0.0,0.33783783783783783,18807.0,15115.0,18978.0
1992-02-05 00:00:00,18408.0,0.0,2.0,0.2,Wednesday,February,0.0,0.33783783783783783,18434.0,17119.0,18978.0
1992-02-11 00:00:00,19911.0,0.0,4.0,0.6222222222222222,Tuesday,February,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-02-11 00:00:00,19006.0,0.0,1.0,0.19047619047619047,Tuesday,February,0.0,0.33783783783783783,18408.0,18173.0,18978.0
1992-02-13 00:00:00,19911.0,0.0,4.0,0.6304347826086957,Thursday,February,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-02-15 00:00:00,19006.0,0.0,2.0,0.20454545454545456,Saturday,February,0.0,0.33783783783783783,19006.0,15209.0,18978.0
1992-02-15 00:00:00,19911.0,0.0,4.0,0.6382978723404256,Saturday,February,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-02-17 00:00:00,19911.0,0.0,4.0,0.6458333333333334,Monday,February,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-02-19 00:00:00,19911.0,0.0,5.0,0.6530612244897959,Wednesday,February,0.0,0.6172839506172839,19911.0,17824.0,18306.0
1992-02-21 00:00:00,19911.0,0.0,5.0,0.66,Friday,February,1.0,0.6172839506172839,19911.0,19667.0,18306.0
1992-02-26 00:00:00,18173.0,0.0,2.0,0.22448979591836732,Wednesday,February,0.0,0.33783783783783783,19006.0,13677.0,18978.0
1992-03-03 00:00:00,18707.0,0.0,4.0,0.6153846153846154,Tuesday,March,0.0,0.33783783783783783,18173.0,16111.0,18978.0
1992-03-04 00:00:00,19911.0,0.0,3.0,0.6545454545454545,Wednesday,March,0.0,0.6172839506172839,19911.0,17942.0,18306.0
1992-03-05 00:00:00,19006.0,0.0,1.0,0.21153846153846154,Thursday,March,0.0,0.33783783783783783,18707.0,13737.0,18978.0
1992-03-11 00:00:00,18479.0,0.0,5.0,0.7090909090909091,Wednesday,March,0.0,0.33783783783783783,19006.0,14363.0,18978.0
1992-03-15 00:00:00,19006.0,0.0,3.0,0.6271186440677966,Sunday,March,0.0,0.33783783783783783,18479.0,16117.0,18978.0
1992-03-19 00:00:00,19911.0,0.0,3.0,0.65,Thursday,March,0.0,0.6172839506172839,19911.0,18591.0,18306.0
1992-03-21 00:00:00,19911.0,0.0,3.0,0.6557377049180327,Saturday,March,0.0,0.6172839506172839,19911.0,18959.0,18306.0
1992-03-23 00:00:00,19006.0,0.0,0.0,0.18032786885245905,Monday,March,0.0,0.33783783783783783,19006.0,9625.0,18978.0
1992-03-25 00:00:00,18818.0,0.0,0.0,0.1774193548387097,Wednesday,March,0.0,0.33783783783783783,19006.0,15948.0,18978.0
1992-03-25 00:00:00,19911.0,0.0,3.0,0.6612903225806451,Wednesday,March,0.0,0.6172839506172839,19911.0,19599.0,18306.0
1992-03-27 00:00:00,19911.0,0.0,3.0,0.6507936507936508,Friday,March,0.0,0.6172839506172839,19911.0,17965.0,18306.0
1992-03-27 00:00:00,19006.0,0.0,0.0,0.1746031746031746,Friday,March,0.0,0.33783783783783783,18818.0,16837.0,18978.0
1992-03-29 00:00:00,19006.0,0.0,4.0,0.3076923076923077,Sunday,March,0.0,0.33783783783783783,19006.0,13094.0,18978.0
1992-03-30 00:00:00,19911.0,0.0,4.0,0.65625,Monday,March,0.0,0.6172839506172839,19911.0,18592.0,18306.0
1992-04-03 00:00:00,19911.0,0.0,3.0,0.6515151515151515,Friday,April,0.0,0.6172839506172839,19911.0,19101.0,18306.0
1992-04-07 00:00:00,18096.0,0.0,3.0,0.2058823529411765,Tuesday,April,0.0,0.33783783783783783,19006.0,16008.0,18978.0
1992-04-09 00:00:00,18167.0,0.0,3.0,0.2028985507246377,Thursday,April,0.0,0.33783783783783783,18096.0,19006.0,18978.0
1992-04-09 00:00:00,19911.0,0.0,3.0,0.6521739130434783,Thursday,April,0.0,0.6172839506172839,19911.0,18565.0,18306.0
1992-04-13 00:00:00,19911.0,0.0,4.0,0.6619718309859155,Monday,April,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-04-14 00:00:00,18410.0,0.0,1.0,0.19718309859154928,Tuesday,April,0.0,0.33783783783783783,18167.0,18582.0,18978.0
1992-04-15 00:00:00,19911.0,0.0,5.0,0.6666666666666666,Wednesday,April,1.0,0.6172839506172839,19911.0,16852.0,18306.0
