,Attendance,Time,Home,Playoffs?,Last Five,Curr Win %,Day of Week,Month,Rivalry?,LS Win %,V Pop,H Pop,Year,Hour,Capacity
13048,19763.0,2004-01-08 19:00:00,New York Knicks,0,2.0,0.3939393939393939,Thursday,January,0,0.4722222222222222,8,4,2004,1140,19763.0
13049,15599.0,2004-01-08 21:30:00,Minnesota Timberwolves,0,1.0,0.4642857142857143,Thursday,January,0,0.625,2,2,2004,1290,20391.0
13050,18405.0,2004-01-09 19:00:00,Toronto Raptors,0,4.0,0.5,Friday,January,0,0.3333333333333333,1,5,2004,1140,20116.0
13051,13552.0,2004-01-09 19:00:00,Orlando Magic,0,1.0,0.3,Friday,January,0,0.4810126582278481,3,19,2004,1140,17283.0
13052,18624.0,2004-01-09 19:30:00,Boston Celtics,0,2.0,0.30303030303030304,Friday,January,0,0.5569620253164557,2,9,2004,1170,18624.0
13053,20315.0,2004-01-09 20:00:00,Dallas Mavericks,0,5.0,0.71875,Friday,January,0,0.7173913043478259,4,5,2004,1200,20677.0
13054,19491.0,2004-01-09 20:30:00,Chicago Bulls,0,1.0,0.4827586206896552,Friday,January,0,0.5833333333333334,2,17,2004,1230,23067.0
13055,18717.0,2004-01-09 20:30:00,Milwaukee Bucks,0,5.0,0.6129032258064516,Friday,January,0,0.4861111111111111,2,2,2004,1230,18717.0
13056,19402.0,2004-01-09 21:00:00,Denver Nuggets,0,2.0,0.5161290322580645,Friday,January,0,0.527027027027027,4,4,2004,1260,19812.0
13057,18997.0,2004-01-09 22:30:00,Los Angeles Lakers,0,2.0,0.7096774193548387,Friday,January,0,0.7209302325581395,5,5,2004,1350,18997.0
13058,16848.0,2004-01-09 22:30:00,Phoenix Suns,0,4.0,0.7333333333333333,Friday,January,0,0.725,7,13,2004,1350,18422.0
13059,17146.0,2004-01-10 19:00:00,Washington Wizards,0,2.0,0.3225806451612903,Saturday,January,0,0.4657534246575342,8,3,2004,1140,20173.0
13060,19763.0,2004-01-10 19:30:00,New York Knicks,0,2.0,0.4117647058823529,Saturday,January,0,0.4722222222222222,2,4,2004,1170,19763.0
13061,17026.0,2004-01-10 20:00:00,Minnesota Timberwolves,0,4.0,0.71875,Saturday,January,0,0.625,2,2,2004,1200,20391.0
13062,18797.0,2004-01-10 20:30:00,San Antonio Spurs,0,4.0,0.6764705882352942,Saturday,January,0,0.7173913043478259,4,4,2004,1230,19034.0
13063,19911.0,2004-01-10 21:00:00,Utah Jazz,0,2.0,0.53125,Saturday,January,0,0.5569620253164557,5,4,2004,1260,19911.0
13064,18906.0,2004-01-11 13:00:00,Toronto Raptors,0,4.0,0.5161290322580645,Sunday,January,0,0.3333333333333333,2,5,2004,780,20116.0
13065,22076.0,2004-01-11 18:00:00,Detroit Pistons,0,5.0,0.6875,Sunday,January,0,0.569620253164557,5,3,2004,1080,22076.0
13066,14878.0,2004-01-11 20:30:00,Houston Rockets,0,3.0,0.5625,Sunday,January,0,0.527027027027027,9,8,2004,1230,18226.0
13067,17317.0,2004-01-11 21:00:00,Sacramento Kings,0,5.0,0.7419354838709677,Sunday,January,0,0.6976744186046512,4,7,2004,1260,17317.0
13068,13618.0,2004-01-11 21:30:00,Los Angeles Clippers,0,3.0,0.5,Sunday,January,0,0.5945945945945946,3,1,2004,1290,19697.0
13069,18230.0,2004-01-12 19:30:00,New York Knicks,0,1.0,0.4,Monday,January,0,0.4722222222222222,5,4,2004,1170,19763.0
13070,15474.0,2004-01-12 19:30:00,Orlando Magic,0,3.0,0.4722222222222222,Monday,January,0,0.4810126582278481,8,19,2004,1170,17283.0
13071,18997.0,2004-01-12 22:00:00,Los Angeles Lakers,0,2.0,0.71875,Monday,January,0,0.7209302325581395,2,5,2004,1320,18997.0
13072,13722.0,2004-01-12 22:30:00,Golden State Warriors,0,4.0,0.5161290322580645,Monday,January,0,0.6351351351351351,3,3,2004,1350,20252.0
13073,16254.0,2004-01-13 19:00:00,Washington Wizards,0,1.0,0.3125,Tuesday,January,0,0.4657534246575342,8,3,2004,1140,20173.0
13074,11807.0,2004-01-13 19:30:00,Atlanta Hawks,0,3.0,0.6571428571428571,Tuesday,January,0,0.4929577464788733,4,5,2004,1170,19635.0
13075,13417.0,2004-01-13 20:00:00,Milwaukee Bucks,0,4.0,0.6060606060606061,Tuesday,January,0,0.4861111111111111,9,2,2004,1200,18717.0
13076,17295.0,2004-01-13 20:30:00,Chicago Bulls,0,5.0,0.696969696969697,Tuesday,January,1,0.5833333333333334,3,17,2004,1230,23067.0
13077,15910.0,2004-01-13 21:00:00,Phoenix Suns,0,0.0,0.3235294117647059,Tuesday,January,0,0.725,4,13,2004,1260,18422.0
13078,18241.0,2004-01-13 21:00:00,Utah Jazz,0,3.0,0.5454545454545454,Tuesday,January,0,0.5569620253164557,3,4,2004,1260,19911.0
13079,17317.0,2004-01-13 22:00:00,Sacramento Kings,0,5.0,0.75,Tuesday,January,0,0.6976744186046512,2,7,2004,1320,17317.0
13080,12394.0,2004-01-13 22:30:00,Los Angeles Clippers,0,1.0,0.4516129032258064,Tuesday,January,0,0.5945945945945946,2,1,2004,1350,19697.0
13081,15445.0,2004-01-14 19:00:00,Boston Celtics,0,3.0,0.5882352941176471,Wednesday,January,0,0.5569620253164557,8,9,2004,1140,18624.0
13082,14735.0,2004-01-14 19:00:00,Indiana Pacers,0,4.0,0.7058823529411765,Wednesday,January,0,0.5569620253164557,5,4,2004,1140,18345.0
13083,17249.0,2004-01-14 19:30:00,New York Knicks,0,1.0,0.2571428571428571,Wednesday,January,0,0.4722222222222222,19,4,2004,1170,19763.0
13084,18473.0,2004-01-14 19:30:00,Detroit Pistons,0,3.0,0.5,Wednesday,January,0,0.569620253164557,5,3,2004,1170,22076.0
13085,17411.0,2004-01-14 20:30:00,San Antonio Spurs,0,3.0,0.6388888888888888,Wednesday,January,0,0.7173913043478259,2,4,2004,1230,19034.0
13086,20221.0,2004-01-14 21:00:00,Dallas Mavericks,0,2.0,0.4594594594594595,Wednesday,January,0,0.7173913043478259,8,5,2004,1260,20677.0
13087,18562.0,2004-01-14 22:30:00,Los Angeles Lakers,0,3.0,0.7272727272727273,Wednesday,January,0,0.7209302325581395,4,5,2004,1350,18997.0
13088,12239.0,2004-01-15 20:00:00,Memphis Grizzlies,0,5.0,0.53125,Thursday,January,0,0.6486486486486487,17,3,2004,1200,19351.0
13089,19751.0,2004-01-15 21:00:00,Utah Jazz,0,4.0,0.5588235294117647,Thursday,January,0,0.5569620253164557,2,4,2004,1260,19911.0
13090,14202.0,2004-01-15 22:00:00,Portland Trail Blazers,0,1.0,0.4375,Thursday,January,0,0.5802469135802469,13,2,2004,1320,20609.0
13091,19602.0,2004-01-15 22:30:00,Golden State Warriors,0,1.0,0.42857142857142855,Thursday,January,1,0.6351351351351351,2,3,2004,1350,20252.0
13092,18044.0,2004-01-16 19:00:00,Indiana Pacers,0,2.0,0.6216216216216216,Friday,January,0,0.5569620253164557,4,4,2004,1140,18345.0
13093,14211.0,2004-01-16 19:00:00,Orlando Magic,0,2.0,0.2777777777777778,Friday,January,0,0.4810126582278481,9,19,2004,1140,17283.0
13094,20539.0,2004-01-16 20:00:00,Detroit Pistons,0,1.0,0.30303030303030304,Friday,January,0,0.569620253164557,3,3,2004,1200,22076.0
13095,19216.0,2004-01-16 21:00:00,Denver Nuggets,0,2.0,0.5526315789473685,Friday,January,0,0.527027027027027,5,4,2004,1260,19812.0
13096,14921.0,2004-01-16 21:00:00,Phoenix Suns,0,2.0,0.3611111111111111,Friday,January,0,0.725,3,13,2004,1260,18422.0
13097,14233.0,2004-01-16 22:30:00,Los Angeles Clippers,0,1.0,0.3684210526315789,Friday,January,0,0.5945945945945946,2,1,2004,1350,19697.0
13098,17317.0,2004-01-16 22:30:00,Sacramento Kings,0,5.0,0.7575757575757576,Friday,January,0,0.6976744186046512,5,7,2004,1350,17317.0
13099,20054.0,2004-01-17 13:00:00,Philadelphia 76ers,0,2.0,0.4473684210526316,Saturday,January,0,0.569620253164557,3,8,2004,780,20965.0
13100,18145.0,2004-01-17 15:30:00,Houston Rockets,0,4.0,0.7058823529411765,Saturday,January,0,0.527027027027027,2,8,2004,930,18226.0
13101,13928.0,2004-01-17 19:00:00,Atlanta Hawks,0,2.0,0.4848484848484849,Saturday,January,0,0.4929577464788733,5,5,2004,1140,19635.0
13102,22202.0,2004-01-17 20:30:00,Chicago Bulls,0,3.0,0.4324324324324325,Saturday,January,1,0.5833333333333334,4,17,2004,1230,23067.0
13103,18717.0,2004-01-17 20:30:00,Milwaukee Bucks,0,3.0,0.5882352941176471,Saturday,January,0,0.4861111111111111,3,2,2004,1230,18717.0
13104,19622.0,2004-01-17 21:00:00,Utah Jazz,0,3.0,0.5428571428571428,Saturday,January,0,0.5569620253164557,2,4,2004,1260,19911.0
13105,19018.0,2004-01-17 22:00:00,Portland Trail Blazers,0,1.0,0.42424242424242425,Saturday,January,0,0.5802469135802469,5,2,2004,1320,20609.0
13106,18997.0,2004-01-17 22:30:00,Los Angeles Lakers,0,4.0,0.7142857142857143,Saturday,January,1,0.7209302325581395,1,5,2004,1350,18997.0
13107,18624.0,2004-01-18 12:30:00,Boston Celtics,0,2.0,0.631578947368421,Sunday,January,0,0.5569620253164557,4,9,2004,750,18624.0
13108,15131.0,2004-01-18 20:00:00,Phoenix Suns,0,0.0,0.4117647058823529,Sunday,January,0,0.725,2,13,2004,1200,18422.0
13109,17635.0,2004-01-18 21:00:00,Denver Nuggets,0,1.0,0.35897435897435903,Sunday,January,0,0.527027027027027,2,4,2004,1260,19812.0
13110,19308.0,2004-01-19 13:00:00,New York Knicks,0,1.0,0.4705882352941176,Monday,January,0,0.4722222222222222,5,4,2004,780,19763.0
13111,15407.0,2004-01-19 13:00:00,Washington Wizards,0,2.0,0.3235294117647059,Monday,January,0,0.4657534246575342,17,3,2004,780,20173.0
13112,19635.0,2004-01-19 14:00:00,Atlanta Hawks,0,4.0,0.7222222222222222,Monday,January,0,0.4929577464788733,4,5,2004,840,19635.0
13113,22076.0,2004-01-19 15:00:00,Detroit Pistons,0,1.0,0.6153846153846154,Monday,January,0,0.569620253164557,4,3,2004,900,22076.0
13114,14574.0,2004-01-19 15:00:00,Orlando Magic,0,3.0,0.2972972972972973,Monday,January,0,0.4810126582278481,2,19,2004,900,17283.0
13115,17325.0,2004-01-19 15:30:00,Los Angeles Clippers,0,5.0,0.7647058823529411,Monday,January,0,0.5945945945945946,7,1,2004,930,19697.0
13116,18619.0,2004-01-19 19:30:00,Memphis Grizzlies,0,5.0,0.5588235294117647,Monday,January,0,0.6486486486486487,8,3,2004,1170,19351.0
13117,14358.0,2004-01-19 22:00:00,Golden State Warriors,0,3.0,0.5277777777777778,Monday,January,0,0.6351351351351351,4,3,2004,1320,20252.0
13118,18312.0,2004-01-19 22:30:00,Los Angeles Lakers,0,4.0,0.3947368421052632,Monday,January,0,0.7209302325581395,13,5,2004,1350,18997.0
13119,15848.0,2004-01-20 19:00:00,Indiana Pacers,0,4.0,0.7297297297297297,Tuesday,January,0,0.5569620253164557,3,4,2004,1140,18345.0
13120,14327.0,2004-01-20 19:30:00,Miami Heat,0,1.0,0.35,Tuesday,January,0,0.3380281690140845,9,2,2004,1170,20291.0
13121,19385.0,2004-01-20 21:00:00,Utah Jazz,0,2.0,0.5135135135135135,Tuesday,January,0,0.5569620253164557,4,4,2004,1260,19911.0
13122,17317.0,2004-01-20 22:00:00,Sacramento Kings,0,4.0,0.7428571428571429,Tuesday,January,0,0.6976744186046512,2,7,2004,1320,17317.0
13123,18846.0,2004-01-21 19:00:00,Toronto Raptors,0,1.0,0.4571428571428571,Wednesday,January,0,0.3333333333333333,2,5,2004,1140,20116.0
13124,10568.0,2004-01-21 19:30:00,Atlanta Hawks,0,0.0,0.2702702702702703,Wednesday,January,0,0.4929577464788733,17,5,2004,1170,19635.0
13125,19351.0,2004-01-21 20:00:00,Memphis Grizzlies,0,5.0,0.5714285714285714,Wednesday,January,0,0.6486486486486487,5,3,2004,1200,19351.0
13126,13455.0,2004-01-21 20:00:00,Milwaukee Bucks,0,2.0,0.2894736842105263,Wednesday,January,0,0.4861111111111111,19,2,2004,1200,18717.0
13127,15652.0,2004-01-21 21:00:00,Denver Nuggets,0,4.0,0.38461538461538464,Wednesday,January,0,0.527027027027027,13,4,2004,1260,19812.0
13128,14976.0,2004-01-21 21:00:00,Houston Rockets,0,3.0,0.4358974358974359,Wednesday,January,0,0.527027027027027,4,8,2004,1260,18226.0
13129,13316.0,2004-01-21 22:30:00,Los Angeles Clippers,0,2.0,0.4705882352941176,Wednesday,January,0,0.5945945945945946,3,1,2004,1350,19697.0
13130,17720.0,2004-01-22 19:00:00,Cleveland Cavaliers,0,4.0,0.75,Thursday,January,0,0.3333333333333333,7,2,2004,1140,20562.0
13131,20512.0,2004-01-22 21:30:00,Dallas Mavericks,0,1.0,0.6578947368421053,Thursday,January,0,0.7173913043478259,5,5,2004,1290,20677.0
13132,20272.0,2004-01-23 19:00:00,Philadelphia 76ers,0,1.0,0.4358974358974359,Friday,January,0,0.569620253164557,19,8,2004,1140,20965.0
13133,16469.0,2004-01-23 19:30:00,Atlanta Hawks,0,4.0,0.45,Friday,January,0,0.4929577464788733,4,5,2004,1170,19635.0
13134,16386.0,2004-01-23 19:30:00,Boston Celtics,0,2.0,0.3142857142857143,Friday,January,0,0.5569620253164557,3,9,2004,1170,18624.0
13135,18345.0,2004-01-23 20:00:00,Indiana Pacers,0,4.0,0.7105263157894737,Friday,January,0,0.5569620253164557,8,4,2004,1200,18345.0
13136,17119.0,2004-01-23 20:00:00,Memphis Grizzlies,0,3.0,0.7297297297297297,Friday,January,0,0.6486486486486487,7,3,2004,1200,19351.0
13137,19006.0,2004-01-23 20:00:00,Minnesota Timberwolves,0,4.0,0.7222222222222222,Friday,January,0,0.625,3,2,2004,1200,20391.0
13138,18761.0,2004-01-23 20:30:00,Chicago Bulls,0,5.0,0.6097560975609756,Friday,January,0,0.5833333333333334,5,17,2004,1230,23067.0
13139,15813.0,2004-01-23 20:30:00,Milwaukee Bucks,0,0.0,0.4444444444444444,Friday,January,0,0.4861111111111111,5,2,2004,1230,18717.0
13140,15675.0,2004-01-23 22:30:00,Los Angeles Clippers,0,1.0,0.5,Friday,January,0,0.5945945945945946,4,1,2004,1350,19697.0
13141,17799.0,2004-01-23 22:30:00,Phoenix Suns,0,2.0,0.625,Friday,January,1,0.725,4,13,2004,1350,18422.0
13142,14325.0,2004-01-24 15:30:00,Portland Trail Blazers,0,1.0,0.4166666666666667,Saturday,January,0,0.5802469135802469,3,2,2004,930,20609.0
13143,14305.0,2004-01-24 19:00:00,Washington Wizards,0,2.0,0.3333333333333333,Saturday,January,0,0.4657534246575342,4,3,2004,1140,20173.0
13144,20562.0,2004-01-24 19:30:00,Cleveland Cavaliers,0,1.0,0.425,Saturday,January,0,0.3333333333333333,8,2,2004,1170,20562.0
13145,19763.0,2004-01-24 19:30:00,New York Knicks,0,3.0,0.4390243902439024,Saturday,January,1,0.4722222222222222,2,4,2004,1170,19763.0
13146,19911.0,2004-01-24 21:00:00,Utah Jazz,0,0.0,0.4871794871794872,Saturday,January,0,0.5569620253164557,5,4,2004,1260,19911.0
13147,20284.0,2004-01-25 13:00:00,Dallas Mavericks,0,2.0,0.7105263157894737,Sunday,January,0,0.7173913043478259,7,5,2004,780,20677.0
13148,22039.0,2004-01-25 15:30:00,Chicago Bulls,0,0.0,0.4324324324324325,Sunday,January,0,0.5833333333333334,5,17,2004,930,23067.0
13149,16002.0,2004-01-25 15:30:00,Minnesota Timberwolves,0,2.0,0.36585365853658536,Sunday,January,0,0.625,13,2,2004,930,20391.0
13150,17284.0,2004-01-25 16:00:00,Memphis Grizzlies,0,5.0,0.5945945945945946,Sunday,January,0,0.6486486486486487,4,3,2004,960,19351.0
13151,22076.0,2004-01-25 18:00:00,Detroit Pistons,0,2.0,0.675,Sunday,January,0,0.569620253164557,5,3,2004,1080,22076.0
13152,14135.0,2004-01-25 18:00:00,Orlando Magic,0,3.0,0.3,Sunday,January,0,0.4810126582278481,8,19,2004,1080,17283.0
13153,14382.0,2004-01-26 19:00:00,Cleveland Cavaliers,0,2.0,0.2926829268292683,Monday,January,0,0.3333333333333333,19,2,2004,1140,20562.0
13154,14236.0,2004-01-26 19:00:00,Washington Wizards,0,2.0,0.32432432432432434,Monday,January,0,0.4657534246575342,2,3,2004,1140,20173.0
13155,14523.0,2004-01-26 19:30:00,Miami Heat,0,3.0,0.3809523809523809,Monday,January,0,0.3380281690140845,8,2,2004,1170,20291.0
13156,14385.0,2004-01-26 20:00:00,Milwaukee Bucks,0,2.0,0.6097560975609756,Monday,January,0,0.4861111111111111,4,2,2004,1200,18717.0
13157,15320.0,2004-01-26 21:00:00,Denver Nuggets,0,4.0,0.7368421052631579,Monday,January,0,0.527027027027027,2,4,2004,1260,19812.0
13158,18592.0,2004-01-26 21:00:00,Utah Jazz,0,1.0,0.5,Monday,January,0,0.5569620253164557,1,4,2004,1260,19911.0
13159,11179.0,2004-01-27 19:30:00,Atlanta Hawks,0,2.0,0.3809523809523809,Tuesday,January,0,0.4929577464788733,13,5,2004,1170,19635.0
13160,19190.0,2004-01-27 19:30:00,New York Knicks,0,3.0,0.6190476190476191,Tuesday,January,0,0.4722222222222222,4,4,2004,1170,19763.0
13161,15298.0,2004-01-27 22:30:00,Los Angeles Clippers,0,3.0,0.4864864864864865,Tuesday,January,0,0.5945945945945946,17,1,2004,1350,19697.0
13162,14799.0,2004-01-28 19:00:00,Washington Wizards,0,2.0,0.3157894736842105,Wednesday,January,0,0.4657534246575342,19,3,2004,1140,20173.0
13163,16111.0,2004-01-28 19:00:00,Indiana Pacers,0,1.0,0.372093023255814,Wednesday,January,0,0.5569620253164557,13,4,2004,1140,18345.0
13164,14433.0,2004-01-28 19:00:00,Cleveland Cavaliers,0,2.0,0.372093023255814,Wednesday,January,0,0.3333333333333333,2,2,2004,1140,20562.0
13165,14042.0,2004-01-28 19:00:00,Boston Celtics,0,2.0,0.6829268292682927,Wednesday,January,1,0.5569620253164557,3,9,2004,1140,18624.0
13166,17708.0,2004-01-28 19:30:00,Toronto Raptors,0,1.0,0.4473684210526316,Wednesday,January,0,0.3333333333333333,8,5,2004,1170,20116.0
13167,11472.0,2004-01-28 20:00:00,Memphis Grizzlies,0,3.0,0.4473684210526316,Wednesday,January,0,0.6486486486486487,2,3,2004,1200,19351.0
13168,15420.0,2004-01-28 21:00:00,Denver Nuggets,0,3.0,0.5681818181818182,Wednesday,January,0,0.527027027027027,17,4,2004,1260,19812.0
13169,18209.0,2004-01-28 21:00:00,Houston Rockets,0,2.0,0.7179487179487181,Wednesday,January,0,0.527027027027027,7,8,2004,1260,18226.0
13170,19515.0,2004-01-28 21:00:00,Utah Jazz,0,2.0,0.5121951219512195,Wednesday,January,0,0.5569620253164557,5,4,2004,1260,19911.0
