Time,Curr Win %,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-02-16 00:00:00,0.6666666666666666,20930.0,Philadelphia 76ers,Milwaukee Bucks,0.0,3.0,Tuesday,February,10976.0
1999-02-17 00:00:00,0.7142857142857143,19006.0,Minnesota Timberwolves,Houston Rockets,0.0,4.0,Wednesday,February,18151.0
1999-02-17 00:00:00,0.75,20735.0,Portland Trail Blazers,Denver Nuggets,0.0,3.0,Wednesday,February,17726.0
1999-02-18 00:00:00,0.5714285714285714,20562.0,Cleveland Cavaliers,New York Knicks,0.0,4.0,Thursday,February,13910.0
1999-02-18 00:00:00,1.0,19911.0,Utah Jazz,Denver Nuggets,0.0,5.0,Thursday,February,19212.0
1999-02-19 00:00:00,0.8,20735.0,Portland Trail Blazers,Boston Celtics,0.0,4.0,Friday,February,18345.0
1999-02-19 00:00:00,0.5555555555555556,19023.0,Phoenix Suns,Detroit Pistons,0.0,3.0,Friday,February,19023.0
1999-02-19 00:00:00,0.3333333333333333,20674.0,Washington Wizards,Chicago Bulls,0.0,2.0,Friday,February,19220.0
1999-02-19 00:00:00,0.5,20930.0,Philadelphia 76ers,New York Knicks,0.0,1.0,Friday,February,19681.0
1999-02-20 00:00:00,0.4444444444444444,20930.0,Philadelphia 76ers,Atlanta Hawks,0.0,1.0,Saturday,February,15159.0
1999-02-20 00:00:00,0.8333333333333334,20735.0,Portland Trail Blazers,Golden State Warriors,0.0,4.0,Saturday,February,17645.0
1999-02-21 00:00:00,0.42857142857142855,19006.0,Minnesota Timberwolves,Sacramento Kings,0.0,2.0,Sunday,February,16848.0
1999-02-21 00:00:00,0.42857142857142855,20674.0,Washington Wizards,Boston Celtics,0.0,2.0,Sunday,February,20674.0
1999-02-22 00:00:00,0.5,20562.0,Cleveland Cavaliers,Philadelphia 76ers,0.0,1.0,Monday,February,13203.0
1999-02-22 00:00:00,0.4545454545454545,19006.0,Minnesota Timberwolves,San Antonio Spurs,0.0,2.0,Monday,February,15374.0
1999-02-22 00:00:00,0.6,19023.0,Phoenix Suns,Dallas Mavericks,0.0,3.0,Monday,February,18596.0
1999-02-22 00:00:00,1.0,19911.0,Utah Jazz,Los Angeles Clippers,0.0,5.0,Monday,February,19911.0
1999-02-23 00:00:00,0.6666666666666666,23079.0,Chicago Bulls,Milwaukee Bucks,0.0,3.0,Tuesday,February,22302.0
1999-02-23 00:00:00,0.375,20674.0,Washington Wizards,Miami Heat,0.0,2.0,Tuesday,February,12879.0
1999-02-24 00:00:00,0.7,18624.0,Boston Celtics,Orlando Magic,0.0,3.0,Wednesday,February,18235.0
1999-02-24 00:00:00,0.3333333333333333,20930.0,Philadelphia 76ers,Sacramento Kings,0.0,2.0,Wednesday,February,14437.0
1999-02-25 00:00:00,0.5833333333333334,23079.0,Chicago Bulls,Philadelphia 76ers,0.0,3.0,Thursday,February,22337.0
1999-02-25 00:00:00,0.7,20562.0,Cleveland Cavaliers,Indiana Pacers,0.0,4.0,Thursday,February,14253.0
1999-02-25 00:00:00,0.3333333333333333,20674.0,Washington Wizards,Sacramento Kings,0.0,2.0,Thursday,February,16813.0
1999-02-26 00:00:00,0.6363636363636364,18624.0,Boston Celtics,New York Knicks,0.0,3.0,Friday,February,18624.0
1999-02-26 00:00:00,0.9,19911.0,Utah Jazz,Dallas Mavericks,0.0,4.0,Friday,February,19911.0
