Time,V Pop,H Pop,Last Attendance vs Opp,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
2004-01-13 22:30:00,2.0,1.0,11173.0,Portland Trail Blazers,0.0,1.0,Tuesday,January,0.0,12394.0
2004-01-14 19:00:00,8.0,9.0,18624.0,Houston Rockets,0.0,3.0,Wednesday,January,0.0,15445.0
2004-01-14 19:00:00,5.0,4.0,15281.0,Atlanta Hawks,0.0,4.0,Wednesday,January,0.0,14735.0
2004-01-14 20:30:00,2.0,4.0,16057.0,Minnesota Timberwolves,0.0,3.0,Wednesday,January,0.0,17411.0
2004-01-14 21:00:00,8.0,5.0,17502.0,Philadelphia 76ers,0.0,2.0,Wednesday,January,0.0,20221.0
2004-01-14 22:30:00,4.0,5.0,17891.0,Denver Nuggets,0.0,3.0,Wednesday,January,0.0,18562.0
2004-01-15 21:00:00,2.0,4.0,12616.0,Miami Heat,0.0,4.0,Thursday,January,0.0,19751.0
2004-01-15 22:00:00,13.0,2.0,19418.0,Phoenix Suns,0.0,1.0,Thursday,January,0.0,14202.0
2004-01-16 19:00:00,4.0,4.0,11133.0,San Antonio Spurs,0.0,2.0,Friday,January,0.0,18044.0
2004-01-16 21:00:00,5.0,4.0,19099.0,Dallas Mavericks,0.0,2.0,Friday,January,0.0,19216.0
2004-01-16 21:00:00,3.0,13.0,17259.0,Golden State Warriors,0.0,2.0,Friday,January,0.0,14921.0
2004-01-16 22:30:00,2.0,1.0,14771.0,Miami Heat,0.0,1.0,Friday,January,0.0,14233.0
2004-01-17 13:00:00,3.0,8.0,20645.0,Memphis Grizzlies,0.0,2.0,Saturday,January,0.0,20054.0
2004-01-17 15:30:00,2.0,8.0,15073.0,Minnesota Timberwolves,0.0,4.0,Saturday,January,0.0,18145.0
2004-01-17 19:00:00,5.0,5.0,10124.0,Toronto Raptors,0.0,2.0,Saturday,January,0.0,13928.0
