,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 3 Subset 3 Huber with Standardized Features,0.5268705872313053,0.5335156709890622,914.4732032046213,1376.6645763643473,5.496542058199735
Dataset 3 Subset 3 LinearSVR,0.4819356133977206,0.488369268149517,1028.3000254521678,1440.5556265250166,6.182290913177038
Dataset 3 Subset 3 LinearSVR with Standardized Features,0.5402686536090977,0.5403491712184547,998.3107913704274,1357.032416691821,5.865004569809889
Dataset 3 Subset 3 Ridge TimeSeriesSplit,0.48257278777716894,0.4881280073404245,1024.2462810748711,1439.6694745672114,6.16180501877961
Dataset 3 Subset 3 Ridge with Standardized Features TimeSeriesSplit,0.532250875972347,0.5324217973459613,992.4573964569685,1368.8146832435793,5.877233884342165
Dataset 3 Subset 3 Lasso TimeSeriesSplit,0.4826215760150099,0.48813243324869326,1024.2482474402043,1439.601599713643,6.161925998152955
Dataset 3 Subset 3 Lasso with Standardized Features TimeSeriesSplit,0.532250875972347,0.5324217973459613,992.4573964569685,1368.8146832435793,5.877233884342165
Dataset 3 Subset 3 Elastic Net TimeSeriesSplit,0.4324611396492706,0.4529911292596388,851.1421417622566,1507.773012622074,5.329922325608764
Dataset 3 Subset 3 Elastic Net with Standardized Features TimeSeriesSplit,0.5268705872313053,0.5335156709890622,914.4732032046213,1376.6645763643473,5.496542058199735
Dataset 3 Subset 3 Huber TimeSeriesSplit,0.48193561339772073,0.4883692681495171,1028.3000254521687,1440.5556265250166,6.1822909131770425
Dataset 3 Subset 3 Huber with Standardized Features TimeSeriesSplit,0.5402686536090977,0.5403491712184547,998.3107913704274,1357.032416691821,5.865004569809889
