,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 1 K-Fold AdaBoost,-0.28617771243109624,2035.0854313775226,2251.4755635483884
Dataset 1 Time Series Split AdaBoost,-0.28617771243109624,2035.0854313775226,2251.4755635483884
Dataset 2 K-Fold AdaBoost,0.05755848149473408,1725.424917511883,1942.9667517846297
Dataset 2 Time Series Split AdaBoost,0.05755848149473408,1725.424917511883,1942.9667517846297
Dataset 3 K-Fold AdaBoost,0.07173808849025831,1705.5145817499524,1928.2947960595436
Dataset 3 Time Series Split AdaBoost,0.07173808849025831,1705.5145817499524,1928.2947960595436
