,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 3 Subset 3: 1 dimensions,-3.413449904496713e+19,-3.4069355522550555e+19,2113956966993.5994,11693241805393.506,12429254220.418774
Dataset 3 Subset 3: 2 dimensions,-2.430693567014255e+20,-2.3123821007927683e+20,6884169932437.024,31203497081621.723,40667287066.42122
