,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 2 Subset 2: 1 dimensions,-9.33521023693166e+20,-8.887845389528919e+20,13386563165755.684,61150528572251.7,79253126730.34216
Dataset 2 Subset 2: 2 dimensions,-1.362629103254049e+17,-1.3113212127371205e+17,143360744268.89844,738800182444.7675,831229709.4834292
Dataset 2 Subset 2: 3 dimensions,-4.7203613649775475e+17,-4.615989139762514e+17,204470489671.26334,1375073103570.0076,1161753141.8262684
