,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 1 Subset 2: 1 dimensions,0.4411417947742049,0.48087368128670993,1143.0907934131737,1484.1150314013776,6.571138666241437
Dataset 1 Subset 2: 2 dimensions,0.4381576995407124,0.4783164381352252,1149.0142215568862,1488.0720676618419,6.6002415191580805
