,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 2: 1 dimensions,-4.5461986582720707e+21,-4.3233699313117204e+21,29876089609222.902,134946731006215.03,176445379434.16754
Dataset 2: 2 dimensions,-4.7012559909101806e+19,-4.677576040336965e+19,3038139606584.0957,13722875199283.025,17940484979.958134
Dataset 2: 3 dimensions,-9.085377574164662e+19,-8.674200025636114e+19,4058381413643.6567,19076981305222.668,24121670794.67451
Dataset 2: 4 dimensions,-1.7288154954405487e+19,-1.6720961767470977e+19,1644912919030.995,8321708273195.436,9835554200.095867
