,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 1: 1 dimensions,0.4168299166707471,0.46103895151593266,1170.5010853293413,1516.0529371829766,6.707897400149451
Dataset 1: 2 dimensions,0.4087833393876763,0.45561080858728387,1187.5325411676647,1526.4763494478407,6.792701952562638
Dataset 1: 3 dimensions,0.4310397351434452,0.4753307061777562,1162.4223053892215,1497.4685720288328,6.6665588391013095
Dataset 1: 4 dimensions,0.43116719386023805,0.4752892125506466,1162.070621257485,1497.30083086565,6.6643590525833964
