,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 2 Subset 3: 1 dimensions,-7.14209161507624e+18,-7.120147658096239e+18,1076286254729.2152,5348732421545.903,6255842156.96601
Dataset 2 Subset 3: 2 dimensions,-3.684224993029635e+21,-3.5042717309113357e+21,26848376272092.723,121481804963752.45,157582451286.7743
