,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 3: 1 dimensions,-3.4755665795659305e+18,654420721587.598,3701619897778.274
Dataset 3: 2 dimensions,-2.3686719597126646e+21,22373095770724.14,96634337643693.52
Dataset 3: 3 dimensions,-3.65691054031107e+20,8799975389247.764,37969614068669.02
Dataset 3: 4 dimensions,-2.0699787333771618e+21,20461615026784.01,90336228831630.14
Dataset 3: 5 dimensions,-2.902224409340696e+21,24852701627970.25,106965693202393.56
Dataset 3: 6 dimensions,-4.6960113001421435e+21,31416966123196.066,136064108794982.86
